session_id,source_file,condition,family,omission_slot,unit_axis_index,metric_name,window_name,alignment_event,time_base,window_ms,baseline_ms,n_raw_behavioral_trials,rate_hz,contrast_name,contrast_value_hz,effect_size_name,effect_size_value,raw_p_value,q_value,correction_scope,candidate_threshold_passed,biological_interpretation_allowed,area_hierarchy_allowed,manuscript_safe_response_class,warnings
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,30,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,1.958,stimulus_vs_baseline,1.958,Cohens_d,1.799,0.000000,0.000000,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,30,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,7.572,stimulus_vs_baseline,7.572,Cohens_d,1.799,0.000000,0.000000,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,31,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,9.292,stimulus_vs_baseline,9.292,Cohens_d,0.505,0.024670,0.130885,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,31,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,11.770,stimulus_vs_baseline,11.770,Cohens_d,0.505,0.024670,0.130885,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,32,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,13.958,stimulus_vs_baseline,13.958,Cohens_d,3.155,0.000000,0.000000,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,32,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,34.330,stimulus_vs_baseline,34.330,Cohens_d,3.155,0.000000,0.000000,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,33,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,1.250,stimulus_vs_baseline,1.250,Cohens_d,-0.615,0.000024,0.000305,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,33,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,0.235,stimulus_vs_baseline,0.235,Cohens_d,-0.615,0.000024,0.000305,within_session_all_units_all_primary_contrasts,true,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,34,fr_baseline_fx,fr_baseline_fx,p1,p1_relative,"[-500, 0]",None,48,0.167,stimulus_vs_baseline,0.167,Cohens_d,-0.158,0.220671,0.677781,within_session_all_units_all_primary_contrasts,false,false,false,false,None
230629,ses230629-units-probe0-spk-AAAB.npy,AAAB,A-family,None,34,fr_stimulus_p1,fr_stimulus_p1,p1,p1_relative,"[0, 531]",None,48,0.078,stimulus_vs_baseline,0.078,Cohens_d,-0.158,0.220671,0.677781,within_session_all_units_all_primary_contrasts,false,false,false,false,None
