session_id,condition,smoke_metric,value,units,n_trials,n_units,n_timepoints,computed_from_slice,interpretation_allowed
230629,AXAB,trial_count,6,trials,6,110,6000,false,false
230629,AXAB,unit_count,110,units,6,110,6000,false,false
230629,AXAB,timepoint_count,6000,timepoints,6,110,6000,false,false
230629,BBBA,finite_fraction,1.000000,ratio,50,110,6000,true,false
230629,BBBA,nonnegative_fraction,1.000000,ratio,50,110,6000,true,false
230629,BBBA,total_nonzero_bins_preview,2529,bins,50,110,6000,true,false
230629,BBBA,mean_rate_preview_if_units_known,4.215000,Hz,50,110,6000,true,false
230629,BBBA,trial_count,50,trials,50,110,6000,false,false
230629,BBBA,unit_count,110,units,50,110,6000,false,false
230629,BBBA,timepoint_count,6000,timepoints,50,110,6000,false,false
230629,BBBX,finite_fraction,1.000000,ratio,2,110,6000,true,false
230629,BBBX,nonnegative_fraction,1.000000,ratio,2,110,6000,true,false
230629,BBBX,total_nonzero_bins_preview,359,bins,2,110,6000,true,false
230629,BBBX,mean_rate_preview_if_units_known,5.983333,Hz,2,110,6000,true,false
230629,BBBX,trial_count,2,trials,2,110,6000,false,false
230629,BBBX,unit_count,110,units,2,110,6000,false,false
230629,BBBX,timepoint_count,6000,timepoints,2,110,6000,false,false
230629,BBXA,finite_fraction,1.000000,ratio,3,110,6000,true,false
230629,BBXA,nonnegative_fraction,1.000000,ratio,3,110,6000,true,false
230629,BBXA,total_nonzero_bins_preview,377,bins,3,110,6000,true,false
230629,BBXA,mean_rate_preview_if_units_known,4.188889,Hz,3,110,6000,true,false
230629,BBXA,trial_count,3,trials,3,110,6000,false,false
230629,BBXA,unit_count,110,units,3,110,6000,false,false
230629,BBXA,timepoint_count,6000,timepoints,3,110,6000,false,false
230629,BXBA,finite_fraction,1.000000,ratio,5,110,6000,true,false
230629,BXBA,nonnegative_fraction,1.000000,ratio,5,110,6000,true,false
230629,BXBA,total_nonzero_bins_preview,641,bins,5,110,6000,true,false
230629,BXBA,mean_rate_preview_if_units_known,4.273333,Hz,5,110,6000,true,false
230629,BXBA,trial_count,5,trials,5,110,6000,false,false
230629,BXBA,unit_count,110,units,5,110,6000,false,false
230629,BXBA,timepoint_count,6000,timepoints,5,110,6000,false,false
230629,RRRR,finite_fraction,1.000000,ratio,84,110,6000,true,false
230629,RRRR,nonnegative_fraction,1.000000,ratio,84,110,6000,true,false
230629,RRRR,total_nonzero_bins_preview,2360,bins,84,110,6000,true,false
230629,RRRR,mean_rate_preview_if_units_known,3.933333,Hz,84,110,6000,true,false
230629,RRRR,trial_count,84,trials,84,110,6000,false,false
230629,RRRR,unit_count,110,units,84,110,6000,false,false
230629,RRRR,timepoint_count,6000,timepoints,84,110,6000,false,false
230629,RRRX,finite_fraction,1.000000,ratio,6,110,6000,true,false
230629,RRRX,nonnegative_fraction,1.000000,ratio,6,110,6000,true,false
230629,RRRX,total_nonzero_bins_preview,866,bins,6,110,6000,true,false
230629,RRRX,mean_rate_preview_if_units_known,4.811111,Hz,6,110,6000,true,false
230629,RRRX,trial_count,6,trials,6,110,6000,false,false
230629,RRRX,unit_count,110,units,6,110,6000,false,false
230629,RRRX,timepoint_count,6000,timepoints,6,110,6000,false,false
230629,RRXR,finite_fraction,1.000000,ratio,2,110,6000,true,false
230629,RRXR,nonnegative_fraction,1.000000,ratio,2,110,6000,true,false
230629,RRXR,total_nonzero_bins_preview,299,bins,2,110,6000,true,false
230629,RRXR,mean_rate_preview_if_units_known,4.983333,Hz,2,110,6000,true,false
230629,RRXR,trial_count,2,trials,2,110,6000,false,false
230629,RRXR,unit_count,110,units,2,110,6000,false,false
230629,RRXR,timepoint_count,6000,timepoints,2,110,6000,false,false
230629,RXRR,finite_fraction,1.000000,ratio,8,110,6000,true,false
230629,RXRR,nonnegative_fraction,1.000000,ratio,8,110,6000,true,false
230629,RXRR,total_nonzero_bins_preview,1204,bins,8,110,6000,true,false
230629,RXRR,mean_rate_preview_if_units_known,5.016667,Hz,8,110,6000,true,false
230629,RXRR,trial_count,8,trials,8,110,6000,false,false
230629,RXRR,unit_count,110,units,8,110,6000,false,false
230629,RXRR,timepoint_count,6000,timepoints,8,110,6000,false,false
230630,AAAB,finite_fraction,1.000000,ratio,44,29,6000,true,false
230630,AAAB,nonnegative_fraction,1.000000,ratio,44,29,6000,true,false
230630,AAAB,total_nonzero_bins_preview,8233,bins,44,29,6000,true,false
230630,AAAB,mean_rate_preview_if_units_known,13.721667,Hz,44,29,6000,true,false
230630,AAAB,trial_count,44,trials,44,29,6000,false,false
230630,AAAB,unit_count,29,units,44,29,6000,false,false
230630,AAAB,timepoint_count,6000,timepoints,44,29,6000,false,false
230630,AAAX,finite_fraction,1.000000,ratio,3,29,6000,true,false
230630,AAAX,nonnegative_fraction,1.000000,ratio,3,29,6000,true,false
230630,AAAX,total_nonzero_bins_preview,1436,bins,3,29,6000,true,false
230630,AAAX,mean_rate_preview_if_units_known,15.955556,Hz,3,29,6000,true,false
230630,AAAX,trial_count,3,trials,3,29,6000,false,false
230630,AAAX,unit_count,29,units,3,29,6000,false,false
230630,AAAX,timepoint_count,6000,timepoints,3,29,6000,false,false
230630,AAXB,finite_fraction,1.000000,ratio,6,29,6000,true,false
230630,AAXB,nonnegative_fraction,1.000000,ratio,6,29,6000,true,false
230630,AAXB,total_nonzero_bins_preview,2554,bins,6,29,6000,true,false
230630,AAXB,mean_rate_preview_if_units_known,14.188889,Hz,6,29,6000,true,false
230630,AAXB,trial_count,6,trials,6,29,6000,false,false
230630,AAXB,unit_count,29,units,6,29,6000,false,false
230630,AAXB,timepoint_count,6000,timepoints,6,29,6000,false,false
230630,AXAB,finite_fraction,1.000000,ratio,7,29,6000,true,false
230630,AXAB,nonnegative_fraction,1.000000,ratio,7,29,6000,true,false
230630,AXAB,total_nonzero_bins_preview,2981,bins,7,29,6000,true,false
230630,AXAB,mean_rate_preview_if_units_known,14.195238,Hz,7,29,6000,true,false
230630,AXAB,trial_count,7,trials,7,29,6000,false,false
230630,AXAB,unit_count,29,units,7,29,6000,false,false
230630,AXAB,timepoint_count,6000,timepoints,7,29,6000,false,false
230630,BBBA,finite_fraction,1.000000,ratio,39,29,6000,true,false
230630,BBBA,nonnegative_fraction,1.000000,ratio,39,29,6000,true,false
230630,BBBA,total_nonzero_bins_preview,8538,bins,39,29,6000,true,false
230630,BBBA,mean_rate_preview_if_units_known,14.230000,Hz,39,29,6000,true,false
230630,BBBA,trial_count,39,trials,39,29,6000,false,false
230630,BBBA,unit_count,29,units,39,29,6000,false,false
230630,BBBA,timepoint_count,6000,timepoints,39,29,6000,false,false
230630,BBBX,finite_fraction,1.000000,ratio,8,29,6000,true,false
230630,BBBX,nonnegative_fraction,1.000000,ratio,8,29,6000,true,false
230630,BBBX,total_nonzero_bins_preview,3495,bins,8,29,6000,true,false
230630,BBBX,mean_rate_preview_if_units_known,14.562500,Hz,8,29,6000,true,false
230630,BBBX,trial_count,8,trials,8,29,6000,false,false
230630,BBBX,unit_count,29,units,8,29,6000,false,false
230630,BBBX,timepoint_count,6000,timepoints,8,29,6000,false,false
230630,BBXA,finite_fraction,1.000000,ratio,7,29,6000,true,false
230630,BBXA,nonnegative_fraction,1.000000,ratio,7,29,6000,true,false
230630,BBXA,total_nonzero_bins_preview,3130,bins,7,29,6000,true,false
230630,BBXA,mean_rate_preview_if_units_known,14.904762,Hz,7,29,6000,true,false
230630,BBXA,trial_count,7,trials,7,29,6000,false,false
230630,BBXA,unit_count,29,units,7,29,6000,false,false
230630,BBXA,timepoint_count,6000,timepoints,7,29,6000,false,false
230630,BXBA,finite_fraction,1.000000,ratio,6,29,6000,true,false
230630,BXBA,nonnegative_fraction,1.000000,ratio,6,29,6000,true,false
230630,BXBA,total_nonzero_bins_preview,2572,bins,6,29,6000,true,false
230630,BXBA,mean_rate_preview_if_units_known,14.288889,Hz,6,29,6000,true,false
230630,BXBA,trial_count,6,trials,6,29,6000,false,false
230630,BXBA,unit_count,29,units,6,29,6000,false,false
230630,BXBA,timepoint_count,6000,timepoints,6,29,6000,false,false
230630,RRRR,finite_fraction,1.000000,ratio,82,29,6000,true,false
230630,RRRR,nonnegative_fraction,1.000000,ratio,82,29,6000,true,false
230630,RRRR,total_nonzero_bins_preview,8366,bins,82,29,6000,true,false
230630,RRRR,mean_rate_preview_if_units_known,13.943333,Hz,82,29,6000,true,false
230630,RRRR,trial_count,82,trials,82,29,6000,false,false
230630,RRRR,unit_count,29,units,82,29,6000,false,false
230630,RRRR,timepoint_count,6000,timepoints,82,29,6000,false,false
230630,RRRX,finite_fraction,1.000000,ratio,9,29,6000,true,false
230630,RRRX,nonnegative_fraction,1.000000,ratio,9,29,6000,true,false
230630,RRRX,total_nonzero_bins_preview,4073,bins,9,29,6000,true,false
230630,RRRX,mean_rate_preview_if_units_known,15.085185,Hz,9,29,6000,true,false
230630,RRRX,trial_count,9,trials,9,29,6000,false,false
230630,RRRX,unit_count,29,units,9,29,6000,false,false
230630,RRRX,timepoint_count,6000,timepoints,9,29,6000,false,false
230630,RRXR,finite_fraction,1.000000,ratio,2,29,6000,true,false
230630,RRXR,nonnegative_fraction,1.000000,ratio,2,29,6000,true,false
230630,RRXR,total_nonzero_bins_preview,897,bins,2,29,6000,true,false
230630,RRXR,mean_rate_preview_if_units_known,14.950000,Hz,2,29,6000,true,false
230630,RRXR,trial_count,2,trials,2,29,6000,false,false
230630,RRXR,unit_count,29,units,2,29,6000,false,false
230630,RRXR,timepoint_count,6000,timepoints,2,29,6000,false,false
230630,RXRR,finite_fraction,1.000000,ratio,7,29,6000,true,false
230630,RXRR,nonnegative_fraction,1.000000,ratio,7,29,6000,true,false
230630,RXRR,total_nonzero_bins_preview,2855,bins,7,29,6000,true,false
230630,RXRR,mean_rate_preview_if_units_known,13.595238,Hz,7,29,6000,true,false
230630,RXRR,trial_count,7,trials,7,29,6000,false,false
230630,RXRR,unit_count,29,units,7,29,6000,false,false
230630,RXRR,timepoint_count,6000,timepoints,7,29,6000,false,false
230630,AAAB,finite_fraction,1.000000,ratio,44,88,6000,true,false
230630,AAAB,nonnegative_fraction,1.000000,ratio,44,88,6000,true,false
230630,AAAB,total_nonzero_bins_preview,145,bins,44,88,6000,true,false
230630,AAAB,mean_rate_preview_if_units_known,0.241667,Hz,44,88,6000,true,false
230630,AAAB,trial_count,44,trials,44,88,6000,false,false
230630,AAAB,unit_count,88,units,44,88,6000,false,false
230630,AAAB,timepoint_count,6000,timepoints,44,88,6000,false,false
230630,AAAX,finite_fraction,1.000000,ratio,3,88,6000,true,false
230630,AAAX,nonnegative_fraction,1.000000,ratio,3,88,6000,true,false
230630,AAAX,total_nonzero_bins_preview,19,bins,3,88,6000,true,false
230630,AAAX,mean_rate_preview_if_units_known,0.211111,Hz,3,88,6000,true,false
230630,AAAX,trial_count,3,trials,3,88,6000,false,false
230630,AAAX,unit_count,88,units,3,88,6000,false,false
230630,AAAX,timepoint_count,6000,timepoints,3,88,6000,false,false
230630,AAXB,finite_fraction,1.000000,ratio,6,88,6000,true,false
230630,AAXB,nonnegative_fraction,1.000000,ratio,6,88,6000,true,false
230630,AAXB,total_nonzero_bins_preview,54,bins,6,88,6000,true,false
230630,AAXB,mean_rate_preview_if_units_known,0.300000,Hz,6,88,6000,true,false
230630,AAXB,trial_count,6,trials,6,88,6000,false,false
230630,AAXB,unit_count,88,units,6,88,6000,false,false
230630,AAXB,timepoint_count,6000,timepoints,6,88,6000,false,false
230630,AXAB,finite_fraction,1.000000,ratio,7,88,6000,true,false
230630,AXAB,nonnegative_fraction,1.000000,ratio,7,88,6000,true,false
230630,AXAB,total_nonzero_bins_preview,52,bins,7,88,6000,true,false
230630,AXAB,mean_rate_preview_if_units_known,0.247619,Hz,7,88,6000,true,false
230630,AXAB,trial_count,7,trials,7,88,6000,false,false
230630,AXAB,unit_count,88,units,7,88,6000,false,false
230630,AXAB,timepoint_count,6000,timepoints,7,88,6000,false,false
230630,BBBA,finite_fraction,1.000000,ratio,39,88,6000,true,false
230630,BBBA,nonnegative_fraction,1.000000,ratio,39,88,6000,true,false
230630,BBBA,total_nonzero_bins_preview,198,bins,39,88,6000,true,false
230630,BBBA,mean_rate_preview_if_units_known,0.330000,Hz,39,88,6000,true,false
230630,BBBA,trial_count,39,trials,39,88,6000,false,false
230630,BBBA,unit_count,88,units,39,88,6000,false,false
230630,BBBA,timepoint_count,6000,timepoints,39,88,6000,false,false
230630,BBBX,finite_fraction,1.000000,ratio,8,88,6000,true,false
230630,BBBX,nonnegative_fraction,1.000000,ratio,8,88,6000,true,false
230630,BBBX,total_nonzero_bins_preview,90,bins,8,88,6000,true,false
230630,BBBX,mean_rate_preview_if_units_known,0.375000,Hz,8,88,6000,true,false
230630,BBBX,trial_count,8,trials,8,88,6000,false,false
230630,BBBX,unit_count,88,units,8,88,6000,false,false
230630,BBBX,timepoint_count,6000,timepoints,8,88,6000,false,false
230630,BBXA,finite_fraction,1.000000,ratio,7,88,6000,true,false
230630,BBXA,nonnegative_fraction,1.000000,ratio,7,88,6000,true,false
230630,BBXA,total_nonzero_bins_preview,97,bins,7,88,6000,true,false
230630,BBXA,mean_rate_preview_if_units_known,0.461905,Hz,7,88,6000,true,false
230630,BBXA,trial_count,7,trials,7,88,6000,false,false
230630,BBXA,unit_count,88,units,7,88,6000,false,false
230630,BBXA,timepoint_count,6000,timepoints,7,88,6000,false,false
230630,BXBA,finite_fraction,1.000000,ratio,6,88,6000,true,false
230630,BXBA,nonnegative_fraction,1.000000,ratio,6,88,6000,true,false
230630,BXBA,total_nonzero_bins_preview,67,bins,6,88,6000,true,false
230630,BXBA,mean_rate_preview_if_units_known,0.372222,Hz,6,88,6000,true,false
230630,BXBA,trial_count,6,trials,6,88,6000,false,false
230630,BXBA,unit_count,88,units,6,88,6000,false,false
230630,BXBA,timepoint_count,6000,timepoints,6,88,6000,false,false
230630,RRRR,finite_fraction,1.000000,ratio,82,88,6000,true,false
230630,RRRR,nonnegative_fraction,1.000000,ratio,82,88,6000,true,false
230630,RRRR,total_nonzero_bins_preview,269,bins,82,88,6000,true,false
230630,RRRR,mean_rate_preview_if_units_known,0.448333,Hz,82,88,6000,true,false
230630,RRRR,trial_count,82,trials,82,88,6000,false,false
230630,RRRR,unit_count,88,units,82,88,6000,false,false
230630,RRRR,timepoint_count,6000,timepoints,82,88,6000,false,false
230630,RRRX,finite_fraction,1.000000,ratio,9,88,6000,true,false
230630,RRRX,nonnegative_fraction,1.000000,ratio,9,88,6000,true,false
230630,RRRX,total_nonzero_bins_preview,113,bins,9,88,6000,true,false
230630,RRRX,mean_rate_preview_if_units_known,0.418519,Hz,9,88,6000,true,false
230630,RRRX,trial_count,9,trials,9,88,6000,false,false
230630,RRRX,unit_count,88,units,9,88,6000,false,false
230630,RRRX,timepoint_count,6000,timepoints,9,88,6000,false,false
230630,RRXR,finite_fraction,1.000000,ratio,2,88,6000,true,false
230630,RRXR,nonnegative_fraction,1.000000,ratio,2,88,6000,true,false
230630,RRXR,total_nonzero_bins_preview,42,bins,2,88,6000,true,false
230630,RRXR,mean_rate_preview_if_units_known,0.700000,Hz,2,88,6000,true,false
230630,RRXR,trial_count,2,trials,2,88,6000,false,false
230630,RRXR,unit_count,88,units,2,88,6000,false,false
230630,RRXR,timepoint_count,6000,timepoints,2,88,6000,false,false
230630,RXRR,finite_fraction,1.000000,ratio,7,88,6000,true,false
230630,RXRR,nonnegative_fraction,1.000000,ratio,7,88,6000,true,false
230630,RXRR,total_nonzero_bins_preview,108,bins,7,88,6000,true,false
230630,RXRR,mean_rate_preview_if_units_known,0.514286,Hz,7,88,6000,true,false
230630,RXRR,trial_count,7,trials,7,88,6000,false,false
230630,RXRR,unit_count,88,units,7,88,6000,false,false
230630,RXRR,timepoint_count,6000,timepoints,7,88,6000,false,false
230630,AAAB,finite_fraction,1.000000,ratio,44,50,6000,true,false
230630,AAAB,nonnegative_fraction,1.000000,ratio,44,50,6000,true,false
230630,AAAB,total_nonzero_bins_preview,7271,bins,44,50,6000,true,false
230630,AAAB,mean_rate_preview_if_units_known,12.118333,Hz,44,50,6000,true,false
230630,AAAB,trial_count,44,trials,44,50,6000,false,false
230630,AAAB,unit_count,50,units,44,50,6000,false,false
230630,AAAB,timepoint_count,6000,timepoints,44,50,6000,false,false
230630,AAAX,finite_fraction,1.000000,ratio,3,50,6000,true,false
230630,AAAX,nonnegative_fraction,1.000000,ratio,3,50,6000,true,false
230630,AAAX,total_nonzero_bins_preview,1253,bins,3,50,6000,true,false
230630,AAAX,mean_rate_preview_if_units_known,13.922222,Hz,3,50,6000,true,false
230630,AAAX,trial_count,3,trials,3,50,6000,false,false
230630,AAAX,unit_count,50,units,3,50,6000,false,false
230630,AAAX,timepoint_count,6000,timepoints,3,50,6000,false,false
230630,AAXB,finite_fraction,1.000000,ratio,6,50,6000,true,false
230630,AAXB,nonnegative_fraction,1.000000,ratio,6,50,6000,true,false
230630,AAXB,total_nonzero_bins_preview,2494,bins,6,50,6000,true,false
230630,AAXB,mean_rate_preview_if_units_known,13.855556,Hz,6,50,6000,true,false
230630,AAXB,trial_count,6,trials,6,50,6000,false,false
230630,AAXB,unit_count,50,units,6,50,6000,false,false
230630,AAXB,timepoint_count,6000,timepoints,6,50,6000,false,false
230630,AXAB,finite_fraction,1.000000,ratio,7,50,6000,true,false
230630,AXAB,nonnegative_fraction,1.000000,ratio,7,50,6000,true,false
230630,AXAB,total_nonzero_bins_preview,2779,bins,7,50,6000,true,false
230630,AXAB,mean_rate_preview_if_units_known,13.233333,Hz,7,50,6000,true,false
