"id","session","area","resolved_area","mapping_status","is_omission_positive","omission_rate","control_rate","baseline_rate"
"230629-probe0-unit119","230629","V1","V1","heuristic_fallback","False","0.5663430420711975","3.9155493912775468","0.7497303128371089"
"230629-probe0-unit120","230629","V1","V1","heuristic_fallback","False","2.6537216828478964","5.594236400061643","1.8985976267529665"
"230629-probe0-unit121","230629","V1","V1","heuristic_fallback","False","0.0","0.05917706888580675","0.08090614886731391"
"230629-probe0-unit122","230629","V1","V1","heuristic_fallback","False","0.0","0.007705347511172755","0.0"
"230629-probe0-unit123","230629","V1","V1","heuristic_fallback","False","0.45307443365695793","0.4343504392048081","0.29126213592233013"
"230629-probe0-unit124","230629","V1","V1","heuristic_fallback","True","15.938511326860842","9.166435506241333","12.939590075512404"
"230629-probe0-unit125","230629","V1","V1","heuristic_fallback","False","2.4865156418554477","2.1240560949298812","2.874865156418555"
"230629-probe0-unit126","230629","V1","V1","heuristic_fallback","False","5.496224379719525","10.968176914778859","3.6947141316073355"
"230629-probe0-unit127","230629","V1","V1","heuristic_fallback","False","3.9266450916936346","10.316535675758976","3.3171521035598706"
"230629-probe0-unit128","230629","V1","V1","heuristic_fallback","False","2.20604099244876","6.232932655262753","1.3915857605177995"
"230629-probe0-unit129","230629","V1","V1","heuristic_fallback","False","4.929881337648327","6.571890892279241","4.859762675296656"
"230629-probe0-unit130","230629","V1","V1","heuristic_fallback","False","0.3991370010787487","0.6755278163045153","0.7659115426105717"
"230629-probe0-unit131","230629","V1","V1","heuristic_fallback","False","0.6634304207119741","0.30883032824780393","0.8576051779935274"
"230629-probe0-unit132","230629","V1","V1","heuristic_fallback","False","1.5048543689320386","2.503929727230698","1.1920172599784251"
"230629-probe0-unit133","230629","V1","V1","heuristic_fallback","False","0.8845738942826322","1.6457851749113885","0.7227615965480043"
"230629-probe0-unit134","230629","V1","V1","heuristic_fallback","False","0.0","0.01348435814455232","0.0"
"230629-probe0-unit135","230629","V1","V1","heuristic_fallback","False","0.0","0.10957004160887657","0.0"
"230629-probe0-unit136","230629","V1","V1","heuristic_fallback","False","2.2815533980582523","1.3425797503467407","1.9687162891046384"
"230629-probe0-unit137","230629","V1","V1","heuristic_fallback","False","1.2459546925566343","0.7772384034519958","1.272923408845739"
"230629-probe0-unit138","230629","V1","V1","heuristic_fallback","False","0.23732470334412084","0.1398520573277855","0.0"
"230629-probe0-unit139","230629","V1","V1","heuristic_fallback","False","0.32362459546925565","0.20064724919093851","0.10787486515641856"
"230629-probe0-unit140","230629","V1","V1","heuristic_fallback","False","0.0","0.0","0.0"
"230629-probe0-unit141","230629","V1","V1","heuristic_fallback","False","0.0","0.01348435814455232","0.0"
"230629-probe0-unit142","230629","V1","V1","heuristic_fallback","False","0.0","0.02118970565572507","0.0"
"230629-probe0-unit143","230629","V1","V1","heuristic_fallback","False","8.117583603020497","16.959701032516566","11.251348435814455"
"230629-probe0-unit144","230629","V1","V1","heuristic_fallback","False","0.9439050701186624","0.6957928802588997","0.29126213592233013"
"230629-probe0-unit145","230629","V1","V1","heuristic_fallback","False","7.56202804746494","8.086222838650023","5.415318230852212"
"230629-probe0-unit146","230629","V1","V1","heuristic_fallback","False","5.4045307443365695","5.533210047773155","5.7820927723840345"
"230629-probe0-unit147","230629","V1","V1","heuristic_fallback","False","3.565264293419633","4.0268146093388815","2.7615965480043148"
"230629-probe0-unit148","230629","V1","V1","heuristic_fallback","False","32.351672060409925","44.53675450762829","31.170442286947143"
